season,week,is_playoff_week,espn_team_id,team_name,opponent_espn_team_id,opponent_team_name,team_score,opponent_score,outcome
2016,1,False,1,The  Commish,7,Wilson!!!!!!!   Wilson!!!!!!,79.2,62.52,W
2016,2,False,1,The  Commish,13,Fat Eddie Lacy,94.76,107.1,L
2016,3,False,1,The  Commish,4,CJ 2k16,79.48,110.88,L
2016,4,False,1,The  Commish,8,Make Fantasy Great Again,104.9,79.78,W
2016,5,False,1,The  Commish,5,From Worst to Worst,134.4,68.66,W
2016,6,False,1,The  Commish,3,Delegate Odell Watkins,69.46,89.14,L
2016,7,False,1,The  Commish,12,Cntrl Alt Delete,75.26,101.42,L
2016,8,False,1,The  Commish,6,Team Flatcheese,93.02,109.1,L
2016,9,False,1,The  Commish,9,New Yawk Bklyn's Best,86.42,83.18,W
2016,10,False,1,The  Commish,10,Team Riley,118.22,77.58,W
2016,11,False,1,The  Commish,2,In Your Face,83.38,78.58,W
2016,12,False,1,The  Commish,7,Wilson!!!!!!!   Wilson!!!!!!,89.74,72.74,W
2016,13,False,1,The  Commish,13,Fat Eddie Lacy,118.56,97.1,W
2016,14,True,1,The  Commish,1,The  Commish,104.5,104.5,U
2016,15,True,1,The  Commish,5,From Worst to Worst,88.48,60.88,W
2016,16,True,1,The  Commish,7,Wilson!!!!!!!   Wilson!!!!!!,122.78,88.78,W
2016,1,False,2,In Your Face,6,Team Flatcheese,91.36,101.22,L
2016,2,False,2,In Your Face,9,New Yawk Bklyn's Best,81.32,84.9,L
2016,3,False,2,In Your Face,10,Team Riley,96.28,69.36,W
2016,4,False,2,In Your Face,12,Cntrl Alt Delete,90.9,102.36,L
2016,5,False,2,In Your Face,7,Wilson!!!!!!!   Wilson!!!!!!,97.56,84.2,W
2016,6,False,2,In Your Face,13,Fat Eddie Lacy,137.58,90.98,W
2016,7,False,2,In Your Face,4,CJ 2k16,62.84,106.88,L
2016,8,False,2,In Your Face,8,Make Fantasy Great Again,65.98,111.38,L
2016,9,False,2,In Your Face,5,From Worst to Worst,90.4,96.78,L
2016,10,False,2,In Your Face,3,Delegate Odell Watkins,106.64,73.44,W
2016,11,False,2,In Your Face,1,The  Commish,78.58,83.38,L
2016,12,False,2,In Your Face,6,Team Flatcheese,97.24,90.8,W
2016,13,False,2,In Your Face,9,New Yawk Bklyn's Best,112.78,118.16,L
2016,14,True,2,In Your Face,9,New Yawk Bklyn's Best,80.7,55.82,W
2016,15,True,2,In Your Face,10,Team Riley,122.6,55.92,W
2016,16,True,2,In Your Face,3,Delegate Odell Watkins,95.32,104.16,L
2016,1,False,3,Delegate Odell Watkins,13,Fat Eddie Lacy,93.94,80.92,W
2016,2,False,3,Delegate Odell Watkins,4,CJ 2k16,82.28,102.36,L
2016,3,False,3,Delegate Odell Watkins,8,Make Fantasy Great Again,81.16,84.8,L
2016,4,False,3,Delegate Odell Watkins,5,From Worst to Worst,102.12,87.84,W
2016,5,False,3,Delegate Odell Watkins,12,Cntrl Alt Delete,113.44,83.88,W
2016,6,False,3,Delegate Odell Watkins,1,The  Commish,89.14,69.46,W
2016,7,False,3,Delegate Odell Watkins,6,Team Flatcheese,85.38,93.08,L
2016,8,False,3,Delegate Odell Watkins,9,New Yawk Bklyn's Best,78.3,81.8,L
2016,9,False,3,Delegate Odell Watkins,10,Team Riley,120.44,102.56,W
2016,10,False,3,Delegate Odell Watkins,2,In Your Face,73.44,106.64,L
2016,11,False,3,Delegate Odell Watkins,7,Wilson!!!!!!!   Wilson!!!!!!,83.8,102.58,L
2016,12,False,3,Delegate Odell Watkins,13,Fat Eddie Lacy,114.34,77.54,W
2016,13,False,3,Delegate Odell Watkins,4,CJ 2k16,55.86,116.84,L
2016,14,True,3,Delegate Odell Watkins,10,Team Riley,46.56,57.38,L
2016,15,True,3,Delegate Odell Watkins,13,Fat Eddie Lacy,79.82,70.94,W
2016,16,True,3,Delegate Odell Watkins,2,In Your Face,104.16,95.32,W
2016,1,False,4,CJ 2k16,5,From Worst to Worst,110.04,158.76,L
2016,2,False,4,CJ 2k16,3,Delegate Odell Watkins,102.36,82.28,W
2016,3,False,4,CJ 2k16,1,The  Commish,110.88,79.48,W
2016,4,False,4,CJ 2k16,6,Team Flatcheese,105.82,80.08,W
2016,5,False,4,CJ 2k16,9,New Yawk Bklyn's Best,122.22,91.46,W
2016,6,False,4,CJ 2k16,10,Team Riley,95.52,53.5,W
2016,7,False,4,CJ 2k16,2,In Your Face,106.88,62.84,W
2016,8,False,4,CJ 2k16,7,Wilson!!!!!!!   Wilson!!!!!!,99.2,81.52,W
2016,9,False,4,CJ 2k16,13,Fat Eddie Lacy,104.02,127.4,L
2016,10,False,4,CJ 2k16,12,Cntrl Alt Delete,111.3,92.94,W
2016,11,False,4,CJ 2k16,8,Make Fantasy Great Again,135.3,87.58,W
2016,12,False,4,CJ 2k16,5,From Worst to Worst,102.44,120.72,L
2016,13,False,4,CJ 2k16,3,Delegate Odell Watkins,116.84,55.86,W
2016,14,True,4,CJ 2k16,4,CJ 2k16,98.16,98.16,U
2016,15,True,4,CJ 2k16,7,Wilson!!!!!!!   Wilson!!!!!!,85.0,102.14,L
2016,16,True,4,CJ 2k16,5,From Worst to Worst,86.34,92.38,L
2016,1,False,5,From Worst to Worst,4,CJ 2k16,158.76,110.04,W
2016,2,False,5,From Worst to Worst,8,Make Fantasy Great Again,80.32,87.62,L
2016,3,False,5,From Worst to Worst,12,Cntrl Alt Delete,78.7,86.84,L
2016,4,False,5,From Worst to Worst,3,Delegate Odell Watkins,87.84,102.12,L
2016,5,False,5,From Worst to Worst,1,The  Commish,68.66,134.4,L
2016,6,False,5,From Worst to Worst,6,Team Flatcheese,74.06,109.7,L
2016,7,False,5,From Worst to Worst,9,New Yawk Bklyn's Best,111.54,69.24,W
2016,8,False,5,From Worst to Worst,10,Team Riley,108.64,112.42,L
2016,9,False,5,From Worst to Worst,2,In Your Face,96.78,90.4,W
2016,10,False,5,From Worst to Worst,7,Wilson!!!!!!!   Wilson!!!!!!,111.14,111.78,L
2016,11,False,5,From Worst to Worst,13,Fat Eddie Lacy,99.64,66.14,W
2016,12,False,5,From Worst to Worst,4,CJ 2k16,120.72,102.44,W
2016,13,False,5,From Worst to Worst,8,Make Fantasy Great Again,75.86,66.0,W
2016,14,True,5,From Worst to Worst,12,Cntrl Alt Delete,87.04,70.34,W
2016,15,True,5,From Worst to Worst,1,The  Commish,60.88,88.48,L
2016,16,True,5,From Worst to Worst,4,CJ 2k16,92.38,86.34,W
2016,1,False,6,Team Flatcheese,2,In Your Face,101.22,91.36,W
2016,2,False,6,Team Flatcheese,7,Wilson!!!!!!!   Wilson!!!!!!,53.42,76.86,L
2016,3,False,6,Team Flatcheese,13,Fat Eddie Lacy,109.94,67.44,W
2016,4,False,6,Team Flatcheese,4,CJ 2k16,80.08,105.82,L
2016,5,False,6,Team Flatcheese,8,Make Fantasy Great Again,65.52,79.16,L
