season,overall_pick,round,pick_in_round,espn_team_id,team_name,player_id,player_name,is_keeper,bid_amount
2022,1,1,1,6,Team  Vengeance,4242335,Jonathan Taylor,False,0
2022,2,1,2,2,In Your Face,3043078,Derrick Henry,False,0
2022,3,1,3,4,I'm Ryan  Keyser,3117251,Christian McCaffrey,False,0
2022,4,1,4,7,I. AM. (NOT) BATEMAN! ,3068267,Austin Ekeler,False,0
2022,5,1,5,1,The  Commish,4241457,Najee Harris,False,0
2022,6,1,6,13,What R U Doin  Step Bro?!?!,2977187,Cooper Kupp,False,0
2022,7,1,7,8,Wu Tang Sports Ventures ,4262921,Justin Jefferson,False,0
2022,8,1,8,3,Cookin With Colonel Sanders,3116593,Dalvin Cook,False,0
2022,9,1,9,12,Quads Are us,4362628,Ja'Marr Chase,False,0
2022,10,1,10,10,DENVER RILEY,4259545,D'Andre Swift,False,0
2022,11,1,11,14,Team YB,3054850,Alvin Kamara,False,0
2022,12,1,12,5,Maybe This Year,2976212,Stefon Diggs,False,0
2022,13,2,1,5,Maybe This Year,3116385,Joe Mixon,False,0
2022,14,2,2,14,Team YB,16800,Davante Adams,False,0
2022,15,2,3,10,DENVER RILEY,3115364,Leonard Fournette,False,0
2022,16,2,4,12,Quads Are us,3929630,Saquon Barkley,False,0
2022,17,2,5,3,Cookin With Colonel Sanders,3126486,Deebo Samuel,False,0
2022,18,2,6,8,Wu Tang Sports Ventures ,4361579,Javonte Williams,False,0
2022,19,2,7,13,What R U Doin  Step Bro?!?!,4035687,Michael Pittman Jr.,False,0
2022,20,2,8,1,The  Commish,3116406,Tyreek Hill,False,0
2022,21,2,9,7,I. AM. (NOT) BATEMAN! ,3042519,Aaron Jones,False,0
2022,22,2,10,4,I'm Ryan  Keyser,4241389,CeeDee Lamb,False,0
2022,23,2,11,2,In Your Face,3045147,James Conner,False,0
2022,24,2,12,6,Team  Vengeance,15847,Travis Kelce,False,0
2022,25,3,1,6,Team  Vengeance,15818,Keenan Allen,False,0
2022,26,3,2,2,In Your Face,3116365,Mark Andrews,False,0
2022,27,3,3,4,I'm Ryan  Keyser,4047646,A.J. Brown,False,0
2022,28,3,4,7,I. AM. (NOT) BATEMAN! ,3128720,Nick Chubb,False,0
2022,29,3,5,1,The  Commish,16737,Mike Evans,False,0
2022,30,3,6,13,What R U Doin  Step Bro?!?!,4239996,Travis Etienne Jr.,False,0
2022,31,3,7,8,Wu Tang Sports Ventures ,4239993,Tee Higgins,False,0
2022,32,3,8,3,Cookin With Colonel Sanders,3915416,DJ Moore,False,0
2022,33,3,9,12,Quads Are us,4360248,Kyle Pitts,False,0
2022,34,3,10,10,DENVER RILEY,4241372,Marquise Brown,False,0
2022,35,3,11,14,Team YB,4035538,David Montgomery,False,0
2022,36,3,12,5,Maybe This Year,4372016,Jaylen Waddle,False,0
2022,37,4,1,5,Maybe This Year,4240021,Cam Akers,False,0
2022,38,4,2,14,Team YB,3121422,Terry McLaurin,False,0
2022,39,4,3,10,DENVER RILEY,3932905,Diontae Johnson,False,0
2022,40,4,4,12,Quads Are us,3918298,Josh Allen,False,0
2022,41,4,5,3,Cookin With Colonel Sanders,4241985,J.K. Dobbins,False,0
2022,42,4,6,8,Wu Tang Sports Ventures ,3051392,Ezekiel Elliott,False,0
2022,43,4,7,13,What R U Doin  Step Bro?!?!,3128429,Courtland Sutton,False,0
2022,44,4,8,1,The  Commish,3045138,Mike Williams,False,0
2022,45,4,9,7,I. AM. (NOT) BATEMAN! ,4047650,DK Metcalf,False,0
2022,46,4,10,4,I'm Ryan  Keyser,4241463,Jerry Jeudy,False,0
2022,47,4,11,2,In Your Face,16731,Brandin Cooks,False,0
